hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,11,10,10,10,10,14,15
1,9,9,9,9,9,12,14
2,7,7,7,7,7,11,11
3,6,6,6,6,6,9,10
4,6,6,6,6,6,7,8
5,7,7,7,6,6,7,7
6,9,9,9,9,9,7,7
7,13,13,11,11,11,9,9
8,17,17,17,17,16,10,10
9,23,21,20,20,20,11,11
10,24,23,24,21,22,13,14
11,24,23,24,24,22,13,14
12,23,23,24,22,22,13,14
13,23,21,22,22,21,14,13
14,21,20,21,21,21,14,14
15,21,20,21,20,19,14,14
16,19,19,20,17,18,12,12
17,17,17,17,17,16,11,12
18,14,14,15,15,14,12,12
19,13,13,13,13,12,11,11
20,11,12,12,12,12,11,11
21,11,12,12,12,11,11,11
22,11,12,12,11,11,12,11
23,11,12,12,12,12,14,12
